,total,data,border
0,0.07213902473449707,0.07213902473449707,0.2303960919380188
1,0.008064422756433487,0.008064422756433487,0.18382328748703003
2,0.0059560565277934074,0.0059560565277934074,0.1813872754573822
3,0.004989604465663433,0.004989604465663433,0.18129664659500122
4,0.00436667213216424,0.00436667213216424,0.18150876462459564
5,0.003929546568542719,0.003929546568542719,0.18154089152812958
6,0.0035270503722131252,0.0035270503722131252,0.18130531907081604
7,0.0031277798116207123,0.0031277798116207123,0.18102984130382538
8,0.002802611794322729,0.002802611794322729,0.18072238564491272
9,0.0024705107789486647,0.0024705107789486647,0.1803884357213974
