,total,data,border
0,0.11982417106628418,0.2177148163318634,0.021933529525995255
1,0.015822019428014755,0.027990616858005524,0.003653421066701412
2,0.011032878421247005,0.019387004896998405,0.0026787372771650553
3,0.009425872005522251,0.016526630148291588,0.0023251078091561794
4,0.008514763787388802,0.014879782684147358,0.0021497474517673254
5,0.0077370633371174335,0.013538730330765247,0.0019353810930624604
6,0.006964733358472586,0.012207519263029099,0.001721937907859683
7,0.006166309118270874,0.010794512927532196,0.0015381085686385632
8,0.005325977690517902,0.009342629462480545,0.0013093296438455582
9,0.00455758161842823,0.008013354614377022,0.001101815141737461
