,total,data,border
0,0.07262254506349564,0.07262254506349564,0.2215724140405655
1,0.007211178075522184,0.007211178075522184,0.17599067091941833
2,0.0051819514483213425,0.0051819514483213425,0.17366230487823486
3,0.004316472914069891,0.004316472914069891,0.1740417331457138
4,0.0038018047343939543,0.0038018047343939543,0.17465370893478394
5,0.003465943271294236,0.003465943271294236,0.1749332994222641
6,0.0031840617302805185,0.0031840617302805185,0.17483209073543549
7,0.003001626580953598,0.003001626580953598,0.1746222823858261
8,0.0027929909992963076,0.0027929909992963076,0.17424854636192322
9,0.002626342000439763,0.002626342000439763,0.17403444647789001
10,0.0024384192656725645,0.0024384192656725645,0.17366355657577515
11,0.002232861239463091,0.002232861239463091,0.17340371012687683
12,0.0019749929197132587,0.0019749929197132587,0.17304649949073792
13,0.0017441007075831294,0.0017441007075831294,0.17268633842468262
14,0.0015659804921597242,0.0015659804921597242,0.17235812544822693
15,0.0014139808481559157,0.0014139808481559157,0.17199543118476868
16,0.0013004604261368513,0.0013004604261368513,0.1718556135892868
17,0.0012018128763884306,0.0012018128763884306,0.1716427206993103
18,0.0011123066069558263,0.0011123066069558263,0.17145143449306488
19,0.0010374222183600068,0.0010374222183600068,0.17135454714298248
20,0.0009702868410386145,0.0009702868410386145,0.17124629020690918
21,0.0009170221164822578,0.0009170221164822578,0.1711772382259369
22,0.0008699615718796849,0.0008699615718796849,0.1710401475429535
23,0.0008301571360789239,0.0008301571360789239,0.1709614098072052
24,0.0007892833091318607,0.0007892833091318607,0.1708834171295166
25,0.0007597882067784667,0.0007597882067784667,0.17080414295196533
26,0.0007350395317189395,0.0007350395317189395,0.1707230508327484
27,0.00070744234835729,0.00070744234835729,0.17065580189228058
28,0.0006832266226410866,0.0006832266226410866,0.17057742178440094
29,0.0006592037389054894,0.0006592037389054894,0.1704774647951126
30,0.0006411392241716385,0.0006411392241716385,0.17045798897743225
31,0.0006196864997036755,0.0006196864997036755,0.17032311856746674
32,0.0006049118237569928,0.0006049118237569928,0.17029127478599548
33,0.0005891238688491285,0.0005891238688491285,0.1701909750699997
34,0.0005733196740038693,0.0005733196740038693,0.17016038298606873
35,0.000560460495762527,0.000560460495762527,0.1700994074344635
36,0.0005414936458691955,0.0005414936458691955,0.16998688876628876
37,0.0005260736797936261,0.0005260736797936261,0.16996264457702637
38,0.0005150855286046863,0.0005150855286046863,0.16984950006008148
39,0.0005040665273554623,0.0005040665273554623,0.1698279082775116
40,0.0004964135005138814,0.0004964135005138814,0.16977758705615997
41,0.00047724941396154463,0.00047724941396154463,0.16966192424297333
42,0.00047094872570596635,0.00047094872570596635,0.16963548958301544
43,0.00045797816710546613,0.00045797816710546613,0.16953665018081665
44,0.0004507075354922563,0.0004507075354922563,0.1695200651884079
45,0.0004423831414896995,0.0004423831414896995,0.16944341361522675
46,0.0004246413882356137,0.0004246413882356137,0.1693875938653946
47,0.0004275816027075052,0.0004275816027075052,0.16938067972660065
48,0.0004083237436134368,0.0004083237436134368,0.16924336552619934
49,0.0004906196845695376,0.0004906196845695376,0.1696566790342331
50,0.00036633393028751016,0.00036633393028751016,0.16907596588134766
51,0.0005915257497690618,0.0005915257497690618,0.16984832286834717
52,0.0004203271819278598,0.0004203271819278598,0.16942676901817322
53,0.0005215654382482171,0.0005215654382482171,0.1699381172657013
54,0.0003823768929578364,0.0003823768929578364,0.1691056489944458
55,0.0003592630964703858,0.0003592630964703858,0.1690230816602707
56,0.001292576314881444,0.001292576314881444,0.1722029447555542
57,0.00026671754312701523,0.00026671754312701523,0.16894899308681488
58,0.000508889730554074,0.000508889730554074,0.16982756555080414
59,0.0003476502315606922,0.0003476502315606922,0.16922315955162048
60,0.0005636649439111352,0.0005636649439111352,0.17003829777240753
61,0.00043368054321035743,0.00043368054321035743,0.16975559294223785
62,0.00030233754660002887,0.00030233754660002887,0.16883662343025208
63,0.0016143701504915953,0.0016143701504915953,0.1724807173013687
64,0.00030044300365261734,0.00030044300365261734,0.16924765706062317
